,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
425,PLACEMAT PAPER SCALLOPED EMBOSSED WHITE 10X14,SYSCO,CLASSIC,7808545,CASE,1.0,1000 CT,33.67,2025-10-22,KITCHEN,
426,PLASTIC CUTLERY EBONY FORKS,SYSCO,CLASSIC,8003370,CASE,1.0,1000 CT,33.45,2025-09-16,KITCHEN,
427,PLASTIC CUTLERY EBONY SPOONS,SYSCO,CLASSIC,8003418,CASE,1.0,1000 CT,29.22,2025-08-08,KITCHEN,
428,PLATE FOAM HEAVY LAMINATED BLACK 6 INCH,SYSCO,CLASSIC,1555251,CASE,8.0,125 CT,48.75,2025-08-13,KITCHEN,
429,PLATE FOAM HEAVY LAMINATED BLACK 9 INCH,SYSCO,CLASSIC,1555313,CASE,4.0,125 CT,53.55,2025-10-22,KITCHEN,
430,PLATE PLASTIC IMPACT BLACK 7 INCH,SYSCO,PACTIV CORP,1857376,CASE,8.0,125 CT,113.49,2025-08-13,KITCHEN,
431,POLENTA CORN MEAL,SYSCO,COLAVITA,2461644,CASE,6.0,1 LB,15.05,2025-07-25,KITCHEN,
432,POPCORN CHEDDAR WHITE LARGE,SYSCO,SMARTFOOD,6783417,CASE,64.0,1 OZ,45.75,2025-08-12,KITCHEN,
433,POTATO DICED COOKED RED SKIN-ON,SYSCO,CLASSIC,3094962,CASE,2.0,10 LB,25.43,2025-09-29,KITCHEN,
434,"POTATO FRY 3/8"" ULTIMATE CRISP",SYSCO,IMPERIAL,2032935,CASE,6.0,5 LB,54.65,2025-09-22,KITCHEN,
435,POTATO FRY CRISSCUT ORIGINAL BATTER,SYSCO,LAMB WESTON,1516350,CASE,6.0,4.5 LB,60.39,2025-08-29,KITCHEN,
436,POTATO FRY SWEET WAFFLE BATTERED,SYSCO,IMPERIAL,4390807,CASE,5.0,3 LB,46.4,2025-09-19,KITCHEN,
437,POTATO HASH BROWNS COOKED SKINLESS,SYSCO,CLASSIC,3009428,CASE,2.0,10 LB,21.8,2025-09-29,KITCHEN,
438,POTATO RED C-SIZE,SYSCO,IMPERIAL,8486896,CASE,1.0,50 LB,34.61,2025-09-23,KITCHEN,
439,POTATO UKON GOLD B SIZE #1,SYSCO,IMPERIAL,9903667,CASE,1.0,50 LB,25.88,2025-07-08,KITCHEN,
440,POTATO YUKON GOLD C SIZE #1,SYSCO,IMPERIAL,9903675,CASE,1.0,50 LB,63.31,2025-07-25,KITCHEN,
441,POWDER BAKING,SYSCO,CLASSIC,7082172,CASE,6.0,5 LB,12.29,2025-07-28,KITCHEN,
442,PUMPKIN SEED PEPITAS RAW,SYSCO,CLASSIC,7221968,CASE,1.0,5 LB,43.31,2025-09-26,KITCHEN,
443,RICE PARBOILED PERFECT,SYSCO,IMPERIAL,4671350,CASE,1.0,25 LB,29.95,2025-09-24,KITCHEN,
444,RINSE AID ADDITIVE SMARTPOWER,SYSCO,ECOLAB,4603308,CASE,2.0,2.5 LB,215.33,2025-09-09,KITCHEN,
445,ROLL BRIOCHE LOBSTER CLUSTER 6 INCH,SYSCO,FIREKING BAKING,626618,CASE,7.0,8 CT,40.48,2025-07-23,KITCHEN,
446,ROLL DINNER ASSORTED PARBAKED,SYSCO,LA BREA BAKERY,3591054,CASE,96.0,1.5 OZ,48.38,2025-09-30,KITCHEN,
447,SALMON ATLANTIC FILLET D SKIN-ON 2-3# CHILEAN,SYSCO,PORTICO,9161597,LB,1.0,10 LB,8.111,2025-07-18,KITCHEN,
448,SALSA JALAPENO FIRE ROASTED CA,SYSCO,CASA SOLANA,2724607,CASE,6.0,#10,56.86,2025-07-18,KITCHEN,
449,SALT PELLETS WATER SOFTENER,SYSCO,CLASSIC,5982582,CASE,1.0,50 LB,10.87,2025-07-18,KITCHEN,
450,SAUCE BARBEQUE ORIGINAL,SYSCO,SWEET BABY RAY'S,3369388,CASE,4.0,1 GAL,56.59,2025-10-22,KITCHEN,
451,SAUCE CHILI HOT SRIRACHA,SYSCO,HUY FONG,2451417,CASE,12.0,28 OZ,59.88,2025-08-27,KITCHEN,
452,SAUCE MARINARA CHUNKY,SYSCO,FULL-RED,7189296,CASE,6.0,#10,42.81,2025-09-30,KITCHEN,
453,SAUCE PESTO BASIL NO NUTS,SYSCO,ARREZZIO,5141502,CASE,6.0,30 OZ,80.32,2025-07-16,KITCHEN,
454,SAUCE PLUM,SYSCO,LA CHOY,4215331,CASE,1.0,1 GAL,23.88,2025-09-26,KITCHEN,
455,SAUCE STEAK GLASS,SYSCO,A.1. STEAK SAUCE,4007522,CASE,12.0,10 OZ,69.67,2025-08-29,KITCHEN,
456,SAUCE TARTAR HIDDEN COVE,SYSCO,IMPERIAL,4096368,CASE,4.0,1 GAL,18.2,2025-08-26,KITCHEN,
457,SAUCE WORCESTERSHIRE,SYSCO,LEA & PERRINS,4007852,CASE,24.0,5 OZ,59.8,2025-07-15,KITCHEN,
458,SAUSAGE LINKS 1 OZ,SYSCO,JIMMY DEAN,1494079,CASE,1.0,12 LB,48.39,2025-09-30,KITCHEN,
459,SAUSAGE PORK PATTIES COOKED MILD 1 OZ,SYSCO,CLASSIC,1589332,CASE,160.0,1 OZ,46.25,2025-07-11,KITCHEN,
460,SAUSAGE PORK PATTY WHOLE HOG RAW,SYSCO,IMPERIAL,3755709,CASE,128.0,1.5 OZ,48,2025-09-23,KITCHEN,
461,SEAFOOD MIX SENSATIONS,SYSCO,KING & PRINCE SEAFOOD,1059047,CASE,6.0,2 LB,74.84,2025-09-26,KITCHEN,
462,SEASONING ORIGINAL RANCH,SYSCO,HIDDEN VALLEY RANCH,2591438,CASE,6.0,16 OZ,75.55,2025-08-27,KITCHEN,
463,SESASONING OLD BAY,SYSCO,OLD BAY,7441916,CASE,6.0,24 OZ,16.52,2025-09-10,KITCHEN,
464,SHORTENING FRY CANOLA CLEAR ZERO TRANS FAT,SYSCO,CLASSIC,7626013,CASE,1.0,35 LB,43.48,2025-10-22,KITCHEN,
465,SHRIMP WHITE PEELED AND DEVEINED TAIL-ON 8/12 COUNT,SYSCO,PORTICO,2614693,CASE,4.0,2.5 LB,99.26,2025-10-22,KITCHEN,
466,SNACK BAR GRANOLA VARIETY 3 FLAVOR,SYSCO,NATURE VALLEY,7082091,CASE,1.0,70 CT,60.28,2025-08-27,KITCHEN,
467,SPICE NUTMEG GROUND,SYSCO,IMPERIAL,5229067,CASE,6.0,1 LB,21.28,2025-07-18,KITCHEN,
468,STEAK RIBEYE SHAVED,SYSCO,STEHOUWER,7392798,CASE,2.0,4.5 LB,64.84,2025-08-27,KITCHEN,
469,STEAK SIRLOIN TOP BASEBALL SKINNED,SYSCO,BUCKHEAD PRIDE,5255800,LB,24.0,8 OZ,20.016,2025-08-22,KITCHEN,
470,STIRRER PLASTIC STRAW BLACK,SYSCO,CLASSIC,8100982,CASE,1.0,8000 CT,16.92,2025-08-27,KITCHEN,
471,STRAW PLASTIC TURANSLUCENT JUMBO WRAPPED 7.75 I,SYSCO,CLASSIC,191567,CASE,24.0,500 CT,70.69,2025-08-27,KITCHEN,
472,SUGAR GRANULATED EXTRA FINE CANE,SYSCO,CLASSIC,5087572,CASE,1.0,25 LB,24.91,2025-10-22,KITCHEN,
473,SYRUP CHOCOLATE SQUEEZE BOTTLE,SYSCO,HERSHEY,4441457,CASE,24.0,24 OZ,91.9,2025-09-26,KITCHEN,
474,SYRUP PANCAKE & WAFFLE,SYSCO,CLASSIC,4186086,CASE,1.0,1 GAL,52.74,2025-09-19,KITCHEN,
475,TOAST FRENCH STICK HEAT & SERVE,SYSCO,FARM RICH,1251461,CASE,5.0,2 LB,34.81,2025-10-22,KITCHEN,
476,TOMATO RSTD RED WEDGES,SYSCO,ARREZZIO,5224387,CASE,2.0,4 LB,51.19,2025-08-20,KITCHEN,
477,TOMATO RSTD YEL WEDGES,SYSCO,ARREZZIO,5224393,CASE,2.0,4 LB,59.26,2025-07-11,KITCHEN,
478,"TOMATO, DICED",SYSCO,FULL-RED,5031596,CASE,6.0,#10,37.7,2025-09-30,KITCHEN,
479,TOPPING HOT FUDGE MELLOWCREAM 60517,SYSCO,J.HUNGERFORD SMITH,4005211,CASE,6.0,127 OZ,118.05,2025-07-30,KITCHEN,
480,TORTILLA FLOUR PRESSED 6 INCHES,SYSCO,CASA SOLANA,2386134,CASE,24.0,12 CT,41.81,2025-09-16,KITCHEN,
481,TURKEY BREAST SLICED SMOKED .67 OUNCE,SYSCO,HORMEL,2477081,CASE,6.0,2 LB,78,2025-10-03,KITCHEN,
482,TURKEY BREAST SLICED WHOLE MUSCLE,SYSCO,HORMEL,8106833,CASE,6.0,2 LB,86.39,2025-09-29,KITCHEN,
