Unnamed: 0,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
631.0,CHICKEN CVP WING WHOLE JUMBO HALAL,SYSCO,SANDERSON FARMS,7753862,CASE,1.0,40 LB,$92.80 ,2025-08-15,,
632.0,CHICKEN POPCORN ALL WHITE BREADED,SYSCO,BRAKEBUSH BROTHERS,3606712,CASE,2.0,5 LB,$38.07 ,2025-08-04,,
633.0,CHIP CORN SCOOP WALKING TACO,SYSCO,FRITOLAY,4940757,CASE,18.0,3.5 OZ,$28.33 ,2025-08-01,,
634.0,CHIP POTATO ORIGINAL KETTLE,SYSCO,BLOCK & BARREL,7221933,CASE,8.0,16 OZ,34.61,2025-09-19,KITCHEN,
635.0,CHIP TORTILLA TRI COLOR PREFRY,SYSCO,CASA SOLANA,9407057,CASE,6.0,2 LB,51.7,2025-09-26,KITCHEN,
636.0,COD ATLANTIC LOIN IQF 4 OUNCE ASIA,SYSCO,PORTICO,7036544,CASE,1.0,10 LB,111.34,2025-09-23,KITCHEN,
637.0,COD BATTERED BEER GUINNESS,SYSCO,HIGHLINER,2942728,CASE,1.0,10 LB,$84.11 ,2025-08-15,,
638.0,CORN DOG ALL MEAT 4 PER # HONEY BATTERED,SYSCO,CLASSIC,1111269,CASE,48.0,4 OZ,$45.03 ,2025-08-15,,
639.0,CORN STARCH,SYSCO,ARGO,4032991,CASE,24.0,1 LB,38.68,2025-09-30,KITCHEN,
640.0,CRACKER GOLDFISH WHOLE GRAIN,SYSCO,PEPPERIDGE FARM,6599405,CASE,300.0,0.75 OZ,$68.85 ,2025-08-05,,
641.0,CREAM SOUR PURE CUP GRADE A,SYSCO,WHOLESOME FARMS,5031836,CASE,100.0,1 OZ,$17.22 ,2025-08-01,,
642.0,CREAMER COFFEE CITAVO NON DAIRY ORIGINAL,SYSCO,CITAVO,7100285,CASE,384.0,9 ML,20.14,2025-10-22,KITCHEN,
643.0,DIP SPINACH ARTICHOKE,SYSCO,CLASSIC,4129340,CASE,4.0,5 LB,66.31,2025-10-22,KITCHEN,
644.0,DOUGH PASTRY PUFF SQUARE 5X5,SYSCO,BAKER'S SOURCE,7198010,CASE,120.0,2 OZ,$63.68 ,2025-10-22,KITCHEN,
645.0,DRESSING ASIAN SESAME,SYSCO,MARZETTI,3630324,CASE,4.0,1 GAL,$68.35 ,2025-08-11,,
